Tidsstempel,What alliance do you belong to? ,"If chosen ""Non of the above"" please type it here",What is your character name?   (Pro Tip: Please do not change your character name after filling this form and before Friday of SvS preparation week.) ,"What is your player ID?
(Note: Your ID must be a 8-9 digit number)
",Is this form a...,Do you want a Construction day appointment?,"How many hours of speedups do you plan to use on Construction day? 
(Note: Your response must be in hours. Add together amount of general speedup hours and construction speedup hours you are planning to use on this day.)
",How much truegold do you plan too spend?,"What times are you available for your Construction day appointment? (UTC time)
(Note: Choose a minimum of 5 times.)
",Do you want a Research day appointment?,"How many hours of speedups do you plan to use on Research day? 
(Note: Your response must be in hours. Add together amount of general speedup hours and research speedup hours you are planning to use during this day.)
","What times are you available for your Research day appointment? (UTC time)
(Note: Choose a minimum of 5 times.)
",Do you want a Troops Training day appointment?,"How many hours of speedups do you plan to use on Troops Training day? 
(Note: Your response must be in hours. Add together amount of general speedup hours and troops training speedup hours you are planning to use during this day.)
","What times are you available for your Troops Training day appointment? (UTC time)
(Note: Choose a minimum of 5 times.)
","Please share any additional notes, clarifications, or comments about your responses on this form.",What suggestions do you have for improving our state? We value your feedback!
29/11/2025 15.51.27,APX,,Tugboat,38383718,New submission,Yes,700,2100,"00:00 (Note: Starts 15 minutes before Construction day, you will only have 15 minutes.), 00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 03:15, 03:45, 14:15, 14:45, 15:15, 15:45, 16:15, 16:45, 17:15, 17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15",Yes,800,"00:00 (Note: Choose if you can do 15 minutes construction and 15 minutes research.), 00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 03:15, 03:45, 14:15, 14:45, 15:15, 15:45, 16:15, 16:45, 17:15, 17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15",Yes,650,"00:00 (Note: Starts 15 minutes before Troops Training day, you will only have 15 minutes.), 00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 03:15, 03:45, 14:15, 14:45, 15:15, 15:45, 16:15, 16:45, 17:15, 17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45",,
29/11/2025 16.13.51,TCM,,Mustang King,39710859,New submission,Yes,1000,1000,"02:15, 02:45, 03:15, 03:45, 04:15",Yes,1000,"02:15, 02:45, 03:15, 03:45, 04:15",Yes,1200,"02:15, 02:45, 03:15, 03:45, 04:15",Na,Na
29/11/2025 16.37.22,TCM,,Rasel,41119406,New submission,No,,,,Yes,2000,"01:15, 01:45, 02:15, 02:45, 03:15, 03:45, 04:15, 04:45, 05:15, 05:45",Yes,1800,"01:15, 01:45, 02:15, 02:45, 03:15, 03:45, 04:15, 04:45, 05:15, 05:45",,
29/11/2025 16.53.43,APX,,Grecorix,39088096,New submission,Yes,1500,2500,"11:45, 12:15, 22:15, 22:45, 23:15",Yes,1000,"11:15, 11:45, 12:15, 22:45, 23:15",No,,,,
29/11/2025 17.00.48,ASC,,xx lava xx,40382613,Re-Submission,Yes,360,1500,"00:00 (Note: Starts 15 minutes before Construction day, you will only have 15 minutes.), 00:15, 00:45, 01:15, 22:45, 23:15, 23:45 (Note: Choose if you can do 15 minutes construction and 15 minutes research.)",Yes,360,"00:00 (Note: Choose if you can do 15 minutes construction and 15 minutes research.), 00:15, 00:45, 01:15, 22:45, 23:15, 23:45 (Note: You will only have 15 minutes.)",Yes,360,"00:00 (Note: Starts 15 minutes before Troops Training day, you will only have 15 minutes.), 00:15, 00:45, 22:45, 23:15, 23:45 (Note: You will only have 15 minutes.)",,
29/11/2025 17.08.30,TCM,,HughJanus,41709359,New submission,No,,,,No,,,Yes,586,"03:15, 03:45, 04:15, 04:45, 05:15",,
29/11/2025 17.25.15,APX,,GermanViking,38612840,New submission,No,,,,No,,,No,,,,
29/11/2025 17.25.30,TCM,,Jobie ,37924862,Re-Submission,Yes,2100,2500,"00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 21:15, 21:45, 22:15, 22:45, 23:15",Yes,350,"00:00 (Note: Choose if you can do 15 minutes construction and 15 minutes research.), 00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 21:15, 21:45, 22:15, 22:45, 23:15, 23:45 (Note: You will only have 15 minutes.)",Yes,400,"00:00 (Note: Starts 15 minutes before Troops Training day, you will only have 15 minutes.), 00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 21:15, 21:45, 22:15, 22:45, 23:15, 23:45 (Note: You will only have 15 minutes.)",Any constructive day speed ups not used will be used for the other days,
29/11/2025 17.57.21,TCM,,LordFartquaad,41824177,New submission,Yes,500,1200,"00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 03:15, 03:45, 04:15, 12:45, 13:15, 13:45, 14:15, 14:45, 15:15, 15:45, 16:15, 16:45, 17:15, 17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15, 22:45, 23:15",Yes,500,"00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 03:15, 03:45, 04:15, 12:45, 13:15, 13:45, 14:15, 14:45, 15:15, 15:45, 16:15, 16:45, 17:15, 17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15, 22:45, 23:15",Yes,520,"00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 03:15, 03:45, 04:15, 12:45, 13:15, 13:45, 14:15, 14:45, 15:15, 15:45, 16:15, 16:45, 17:15, 17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15, 22:45, 23:15",,
29/11/2025 18.19.25,APX,,Cherry skies,37826622,New submission,Yes,600,1413,"01:45, 02:15, 02:45, 03:15, 03:45",Yes,230,"02:15, 02:45, 03:15, 03:45, 04:15",Yes,665,"02:15, 02:45, 03:15, 03:45, 04:15",,
29/11/2025 19.02.01,TCM,,Jay647,39121159,New submission,Yes,966,1750,"04:45, 05:15, 05:45, 06:15, 06:45, 07:15, 07:45",Yes,676,"04:45, 05:15, 05:45, 06:15, 06:45, 07:15, 07:45",No,,,,
29/11/2025 19.10.06,APX,,Atriox,40791803,New submission,Yes,800,1500,"14:15, 14:45, 15:15, 22:15, 22:45, 23:15",Yes,800,"14:15, 14:45, 15:15, 21:45, 22:15, 22:45, 23:15",Yes,1000,"13:45, 14:15, 14:45, 15:15, 21:45, 22:15, 22:45, 23:15, 23:45 (Note: You will only have 15 minutes.)",,
