Tidsstempel,What alliance do you belong to? ,"If chosen ""Non of the above"" please type it here","What is your character name? 
(Note: Copy your name from your profile and paste it in the answer below.) 
(Pro Tip: Please do not change your character name after filling this form and before Friday of SvS preparation week.)
","What is your player ID?
(Note: Your ID must be a 8-9 digit number)
",Is this form a...,Do you want a Construction day appointment?,"How many hours of speedups do you plan to use on Construction day? 
(Note: Your response must be in hours. Add together amount of general speedup hours and construction speedup hours you are planning to use on this day.)
",How much truegold do you plan too spend?,"What times are you available for your Construction day appointment? (UTC time)
(Note: Choose a minimum of 5 times.)
",Do you want a Research day appointment?,"How many hours of speedups do you plan to use on Research day? 
(Note: Your response must be in hours. Add together amount of general speedup hours and research speedup hours you are planning to use during this day.)
",How much truegold dust do you plan too spend?,"What times are you available for your Research day appointment? (UTC time)
(Note: Choose a minimum of 5 times.)
",Do you want a Troops Training day appointment?,"How many hours of speedups do you plan to use on Troops Training day? 
(Note: Your response must be in hours. Add together amount of general speedup hours and troops training speedup hours you are planning to use during this day.)
","What times are you available for your Troops Training day appointment? (UTC time)
(Note: Choose a minimum of 5 times.)
","Please share any additional notes, clarifications, or comments about your responses on this form.",What suggestions do you have for improving our state? We value your feedback!
25/12/2025 18.13.30,TCM,,Rhasky,38334351,New submission,Yes,22,2100,"00:00 (Note: Starts 15 minutes before Construction day, you will only have 15 minutes.), 00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 03:15, 21:45, 22:15, 22:45, 23:15",Yes,25,500,"00:00 (Note: Choose if you can do 15 minutes construction and 15 minutes research.), 00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 03:15, 21:45, 22:15, 22:45, 23:15",Yes,30,"00:00 (Note: Starts 15 minutes before Troops Training day, you will only have 15 minutes.), 00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 03:15, 21:45, 22:15, 22:45, 23:15",,
26/12/2025 00.10.14,ASC,,Royal King,38088445,New submission,No,,,,Yes,1000,2000,"00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 03:15, 03:45, 04:15",Yes,1500,"00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 03:15, 03:45, 04:15",Thank you very much!,
26/12/2025 00.34.17,TCM,,KlausThaler ,39284730,New submission,Yes,800,1900,"20:45, 21:15, 21:45, 22:15, 22:45, 23:15",Yes,550,1100,"21:15, 21:45, 22:15, 22:45, 23:15",Yes,550,"21:15, 21:45, 22:15, 22:45, 23:15",None,Thx for having you all!
26/12/2025 03.49.32,ASC,,Royal Queen,90506309,New submission,Yes,1000,2100,"00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 03:15, 03:45, 04:15",Yes,800,500,"00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 03:15, 03:45, 04:15",Yes,600,"00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 03:15, 03:45, 04:15, 04:45",Thank you!,
26/12/2025 04.19.28,TCM,,Tydimus,38777107,New submission,No,,,,Yes,432,0,"00:00 (Note: Choose if you can do 15 minutes construction and 15 minutes research.), 00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 03:15, 03:45, 13:15, 13:45, 14:15, 14:45, 15:15, 15:45, 16:15, 16:45, 17:15, 17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15, 22:45, 23:15, 23:45 (Note: You will only have 15 minutes.)",Yes,1200,"00:00 (Note: Starts 15 minutes before Troops Training day, you will only have 15 minutes.), 00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 03:15, 13:15, 13:45, 14:15, 14:45, 15:15, 15:45, 16:15, 16:45, 17:15, 17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15, 22:45, 23:15, 23:45 (Note: You will only have 15 minutes.)",,
26/12/2025 04.30.44,ASC,,Royal Alien,96279696,New submission,Yes,500,3500,"00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 03:15, 03:45, 04:15, 04:45",Yes,300,0,"00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 03:15, 03:45, 04:15, 04:45",Yes,400,"00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 03:15, 03:45, 04:15, 04:45",Thank you! This one is free to play account so not much speedups but I am finally ready to spend my TGs!,
26/12/2025 05.40.44,ASC,,Whoperstomper7,41660322,New submission,No,,,,No,,,,No,,,,
26/12/2025 08.34.11,ASC,,Reinhardt,40579276,New submission,No,,,,No,,,,Yes,880,"00:45, 01:15, 01:45, 02:15, 02:45",All good and fine! ^^,"If there are any people inside 235 without Helga that reached 100m+ pls tell me, Just wanted to say Hi! Thank you"
26/12/2025 12.41.40,GUN,,Unicorse,39547067,New submission,Yes,121,1000,"00:00 (Note: Starts 15 minutes before Construction day, you will only have 15 minutes.), 00:15, 00:45, 01:15, 01:45, 11:15, 11:45, 12:15, 12:45, 13:15, 13:45, 14:15, 14:45, 15:15, 15:45, 16:15, 16:45, 17:15, 17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15, 22:45, 23:15, 23:45 (Note: Choose if you can do 15 minutes construction and 15 minutes research.)",Yes,300,1000,"00:00 (Note: Choose if you can do 15 minutes construction and 15 minutes research.), 00:15, 00:45, 01:15, 01:45, 02:15, 11:15, 11:45, 12:15, 12:45, 13:15, 13:45, 14:15, 14:45, 15:15, 15:45, 16:15, 16:45, 17:15, 17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15, 22:45, 23:15, 23:45 (Note: You will only have 15 minutes.)",Yes,250,"00:00 (Note: Starts 15 minutes before Troops Training day, you will only have 15 minutes.), 00:15, 00:45, 01:15, 01:45, 02:15, 11:45, 12:15, 12:45, 13:15, 13:45, 14:15, 14:45, 15:15, 15:45, 16:15, 16:45, 17:15, 17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15, 22:45, 23:15, 23:45 (Note: You will only have 15 minutes.)",Flexible with times. I’ll even take the shortened time slots ,Thank you all for everything you do. 
26/12/2025 15.29.05,APX,,Atriox ,40791803,New submission,Yes,1000,1000,"20:15, 20:45, 21:15, 21:45, 22:15",Yes,800,1000,"11:15, 11:45, 12:15, 12:45, 13:15",Yes,1000,"20:15, 20:45, 21:15, 21:45, 22:15",,
26/12/2025 18.39.09,GUN,,Amyrlin,38530988,New submission,Yes,1015,564,"08:45, 09:15, 09:45, 10:15, 10:45",Yes,894,670,"08:45, 09:15, 09:45, 10:15, 10:45",Yes,1170,"08:45, 09:15, 09:45, 10:15, 10:45",,
27/12/2025 02.06.47,GUN,,RamseClause,39514344,New submission,Yes,763,1100,"19:45, 20:15, 20:45, 21:15, 21:45",Yes,688,600,"19:45, 20:15, 20:45, 21:15, 22:15",Yes,867,"20:15, 20:45, 21:15, 21:45, 22:15",,
27/12/2025 02.34.15,APX,,Cherry skies,37826622,New submission,Yes,549,1145,"01:15, 01:45, 02:15, 02:45, 03:15",Yes,300,345,"01:15, 01:45, 02:15, 02:45, 03:15",Yes,438,"01:15, 01:45, 02:15, 02:45, 03:15",,
27/12/2025 02.40.37,APX,,MissCherry,38449080,New submission,Yes,430,2549,"01:15, 01:45, 02:15, 02:45, 03:15",Yes,645,1254,"01:15, 01:45, 02:15, 02:45, 03:15",Yes,557,"01:15, 01:45, 02:15, 02:45, 03:15",,
27/12/2025 02.43.13,APX,,Sky,103662660,New submission,Yes,500,1708,"02:15, 02:45, 03:15, 03:45, 04:15",Yes,300,0,"02:15, 02:45, 03:15, 03:45, 04:15",Yes,340,"02:15, 02:45, 03:15, 03:45, 04:15",,
27/12/2025 05.29.39,TCM,,Bunny,39874858,Re-Submission,No,,,,Yes,2370,8000,23:45,,,,,
27/12/2025 14.03.08,TCM,,Moes,38874813,New submission,Yes,650,2000,"09:15, 09:45, 10:15, 10:45, 11:15, 11:45, 12:15, 12:45, 13:15, 13:45, 14:15, 14:45, 15:15, 15:45, 16:15",Yes,1000,1000,"09:15, 09:45, 10:15, 10:45, 11:15, 11:45, 12:15, 12:45, 13:15, 13:45, 14:15, 14:45, 15:15, 15:45, 16:15",Yes,450,"11:15, 11:45, 12:15, 12:45, 13:15, 13:45, 14:15, 14:45, 15:15, 15:45, 16:15",,
27/12/2025 14.29.38,TCM,,Wiglag,38613280,New submission,Yes,521,1500,"00:15, 00:45, 12:15, 12:45, 13:15",Yes,1200,600,"00:15, 00:45, 12:15, 12:45, 13:15",Yes,1975,"00:15, 00:45, 12:15, 12:45, 13:15",,
27/12/2025 14.58.03,DFM,,ᏚᎮᏋᏃᎥ,40513137,Re-Submission,Yes,1000,1400,"11:15, 11:45, 12:15, 12:45, 13:15, 13:45, 14:15, 14:45, 15:15, 15:45, 16:15, 18:15, 19:45",Yes,420,450,"11:45, 12:15, 12:45, 13:15, 13:45, 14:15, 14:45, 15:15, 15:45, 16:15, 16:45, 17:15, 17:45, 18:15, 18:45",Yes,300,"10:15, 10:45, 11:15, 11:45, 12:15, 12:45, 13:15, 13:45, 14:15, 14:45, 15:15, 15:45, 16:15, 16:45",,Nothing. Ya'll are doing amazing😊
27/12/2025 15.03.42,KAT,,Vagabond,40972352,New submission,Yes,300,100,"17:15, 17:45, 18:15, 18:45, 19:15, 19:45",Yes,220,100,"16:45, 17:15, 17:45, 18:15, 18:45, 19:15, 19:45",Yes,300,"16:45, 17:15, 17:45, 18:15, 18:45, 19:15, 19:45",,
27/12/2025 16.30.08,ASC,,Hokies,37908384,New submission,Yes,300,550,"00:15, 00:45, 01:15, 01:45, 02:15",Yes,180,200,"00:15, 00:45, 01:15, 01:45, 02:15",Yes,480,"00:15, 00:45, 01:15, 01:45, 02:15",,
27/12/2025 16.34.52,ASC,,Tilly,72079542,New submission,Yes,510,1200,"00:00 (Note: Starts 15 minutes before Construction day, you will only have 15 minutes.), 00:45, 01:15, 01:45, 02:15, 02:45, 03:15, 03:45, 04:15, 04:45, 12:45, 13:15, 13:45, 14:15, 14:45, 15:15, 15:45, 16:15, 16:45, 17:15, 17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15, 22:45, 23:15",Yes,400,600,"03:45, 04:15, 04:45, 05:15, 05:45, 12:45, 13:15, 13:45, 14:15, 14:45, 15:15, 15:45, 16:15, 16:45, 17:15, 17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15, 22:45, 23:15",Yes,1200,"00:45, 01:15, 01:45, 02:15, 02:45, 03:15, 03:45, 04:15, 04:45, 05:15, 12:45, 13:15, 13:45, 14:15, 14:45, 15:15, 15:45, 16:15, 16:45, 17:15, 17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15, 22:45, 23:15","I sleep 5-12utc. But if that my chance vs not getting appt, I’ll take it. Trying to be flexible if needed. ",
27/12/2025 16.44.19,TCM,,Rotad,41447616,New submission,Yes,600,2200,"00:00 (Note: Starts 15 minutes before Construction day, you will only have 15 minutes.), 00:45, 01:45, 02:15, 02:45, 03:15, 03:45, 04:15, 04:45, 05:15, 12:15, 12:45, 13:15, 13:45, 14:15, 14:45, 15:15, 15:45, 16:15, 16:45, 17:15, 17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15, 22:45, 23:15",Yes,2600,2200,"03:45, 04:15, 04:45, 05:15, 12:45, 13:15, 13:45, 14:15, 14:45, 15:15, 15:45, 16:15, 16:45, 17:15, 17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15, 22:45, 23:15",Yes,1000,"01:45, 02:15, 02:45, 03:15, 03:45, 04:15, 04:45, 05:15, 12:45, 13:15, 13:45, 14:15, 14:45, 15:15, 15:45, 16:15, 16:45, 17:15, 17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15, 22:45, 23:15",Boosting battle research after dust runs out. ,
27/12/2025 17.30.18,TCM,,LordFartquaad,41824177,New submission,Yes,800,1900,"00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 03:15, 03:45, 04:15, 13:15, 13:45, 14:15, 14:45, 15:15, 15:45, 16:15, 16:45, 17:15, 17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15, 22:45, 23:15",Yes,600,800,"00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 03:15, 03:45, 04:15, 13:15, 13:45, 14:15, 14:45, 15:15, 15:45, 16:15, 16:45, 17:15, 17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15, 22:45, 23:15",Yes,650,"00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 03:15, 03:45, 04:15, 13:15, 13:45, 14:15, 14:45, 15:15, 15:45, 16:15, 16:45, 17:15, 17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15, 22:45, 23:15",,
27/12/2025 17.50.26,TCM,,Woey,41283559,New submission,Yes,438,1563,"00:15, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15, 22:45, 23:15",Yes,495,450,"00:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15, 22:45, 23:15",Yes,356,"00:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15, 22:45, 23:15",,
27/12/2025 18.21.59,ASC,,BongyTheMurderer,40087786,New submission,Yes,2400,1500,"00:15, 00:45, 01:15, 01:45, 02:15",Yes,720,500,"00:15, 00:45, 01:15, 01:45, 02:15",Yes,720,"00:15, 00:45, 01:15, 01:45, 02:15",,
27/12/2025 21.53.17,TCM,,Driec,40759599,New submission,Yes,599,1635,"02:15, 02:45, 03:15, 03:45, 04:15, 04:45, 05:15, 05:45, 06:15, 06:45",Yes,888,749,"03:15, 03:45, 04:15, 04:45, 05:15, 05:45, 06:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15, 22:45",Yes,1000,"01:45, 02:15, 02:45, 03:15, 03:45, 04:15, 04:45, 05:15, 05:45, 06:15, 06:45, 07:15",,
27/12/2025 22.33.24,DFM,,New Ino,38449062,New submission,Yes,500,600,"01:15, 01:45, 02:15, 02:45, 03:15, 03:45, 04:15, 04:45, 05:15, 05:45",Yes,300,250,"01:15, 01:45, 02:15, 02:45, 03:15, 03:45, 04:15, 04:45",Yes,400,"01:15, 01:45, 02:15, 02:45, 03:15, 03:45, 04:15, 04:45, 05:15",,
27/12/2025 22.41.03,DFM,,Luden,39923751,New submission,Yes,310,1405,"01:15, 01:45, 02:15, 02:45, 03:15, 13:15, 13:45, 14:15, 14:45, 19:15, 19:45, 20:15, 20:45, 23:45 (Note: Choose if you can do 15 minutes construction and 15 minutes research.)",Yes,931,716,"01:15, 01:45, 02:15, 02:45, 03:15, 12:15, 12:45, 13:15, 13:45, 14:15, 14:45, 15:15, 15:45, 16:15, 16:45, 17:15, 17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15, 22:45, 23:15, 23:45 (Note: You will only have 15 minutes.)",Yes,337,"00:00 (Note: Starts 15 minutes before Troops Training day, you will only have 15 minutes.), 00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 13:15, 13:45, 14:15, 14:45, 15:15, 15:45, 16:15, 16:45, 17:15, 17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15, 22:45, 23:15, 23:45 (Note: You will only have 15 minutes.)",,
27/12/2025 23.42.02,TCM,,Tazzi,31421086,New submission,Yes,1025,2000,"00:00 (Note: Starts 15 minutes before Construction day, you will only have 15 minutes.), 00:45, 01:15, 02:15, 03:15, 04:15",No,,,,No,,,,
28/12/2025 00.56.23,KAT,,Raymundo1133,38350993,New submission,Yes,80,400,"18:45, 20:15, 21:15, 22:15, 22:45",Yes,90,300,"19:45, 20:15, 20:45, 21:15, 21:45",No,,,,
28/12/2025 01.32.14,TCM,,slickrick,39432414,New submission,Yes,325,1915,"00:00 (Note: Starts 15 minutes before Construction day, you will only have 15 minutes.), 00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 03:15, 03:45, 04:15, 04:45, 05:15, 05:45, 13:45, 14:15, 14:45, 15:15, 15:45, 16:15, 16:45, 17:15, 17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15, 22:45, 23:15, 23:45 (Note: Choose if you can do 15 minutes construction and 15 minutes research.)",Yes,1200,800,"00:00 (Note: Choose if you can do 15 minutes construction and 15 minutes research.), 00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 03:15, 03:45, 04:15, 04:45, 05:15, 05:45, 13:45, 14:15, 14:45, 15:15, 15:45, 16:15, 16:45, 17:15, 17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15, 22:45, 23:15, 23:45 (Note: You will only have 15 minutes.)",No,,,,
28/12/2025 02.52.21,TCM,,Jay647,39121159,New submission,Yes,1209,2450,"06:15, 06:45, 12:45, 13:15, 13:45, 14:15, 14:45, 20:15, 20:45, 21:15, 21:45, 22:15, 22:45",Yes,504,0,"00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 03:15, 03:45, 04:15, 04:45, 05:15, 05:45, 06:15, 09:15, 09:45, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15, 22:45, 23:15, 23:45 (Note: You will only have 15 minutes.)",No,,,,
28/12/2025 03.39.42,APX,,IndigoQFT,41103690,New submission,No,,,,No,,,,No,,,,
28/12/2025 04.22.30,APX,,Fuel,30429977,Re-Submission,Yes,40,1100,"11:15, 11:45, 12:15, 12:45, 13:15",Yes,28,800,"11:15, 11:45, 12:15, 12:45, 13:15",No,,,,
28/12/2025 06.12.02,APX,,Oden,41074833,New submission,Yes,20,200,"18:15, 18:45, 19:15, 19:45, 20:15",No,,,,Yes,100,"18:15, 18:45, 19:15, 19:45, 20:15",Ok,Vet ej
28/12/2025 10.44.19,APX,,Wang,30679680,New submission,Yes,1500,7000,"13:15, 13:45, 14:15, 14:45, 15:15",No,,,,Yes,1000,"15:45, 16:15, 16:45, 17:15, 17:45",,
28/12/2025 11.05.09,APX,,Grecorix,39088096,New submission,Yes,1500,2000,"07:45, 08:15, 08:45, 22:15, 22:45, 23:15",No,,,,Yes,1000,"07:45, 08:15, 08:45, 22:45, 23:15",,
28/12/2025 11.07.50,TCM,,Abiziana ,40775636,New submission,Yes,500,570,"00:15, 00:45, 06:15, 06:45, 07:15, 07:45, 08:15, 08:45, 09:15, 09:45, 10:15, 10:45, 11:15, 11:45, 12:15, 12:45, 13:15, 13:45, 14:15, 14:45, 15:15, 15:45, 16:15, 16:45, 17:15, 17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15, 22:45, 23:15",Yes,1000,500,"00:15, 00:45, 07:15, 07:45, 08:15, 08:45, 09:15, 09:45, 10:15, 10:45, 11:15, 11:45, 12:15, 12:45, 13:15, 13:45, 14:15, 14:45, 15:15, 15:45, 16:15, 16:45, 17:15, 17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15, 22:45, 23:15",Yes,400,"00:15, 00:45, 07:15, 07:45, 08:15, 08:45, 09:15, 09:45, 10:15, 10:45, 11:15, 11:45, 12:15, 12:45, 13:15, 13:45, 14:15, 14:45, 15:15, 15:45, 16:15, 16:45, 17:15, 17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15, 22:45, 23:15",Thanks!!!,
